ticker
AAL
AAPL
ADBE
ADI
ADP
ADSK
AKAM
ALXN
AMAT
AMGN
AMZN
ATVI
AVGO
BBBY
BIDU
BIIB
BMRN
CA
CELG
CERN
CHKP
CHRW
CHTR
CMCSA
COST
CSCO
CSX
CTAS
CTRP
CTSH
CTXS
DISCA
DISCK
DISH
DLTR
DTV
EA
EBAY
ENDP
EQIX
ESRX
EXPD
EXPE
FAST
FB
FFIV
FISV
FLEX
FLIR
FOSL
FOX
FOXA
FSLR
GILD
GOLD
GOOG
GOOGL
GRMN
HAS
HOLX
HSIC
ILMN
INCY
INFY
INTC
INTU
ISRG
JBHT
JD
KHC
KLAC
LBTYA
LBTYK
LIFE
LILA
LILAK
LOGI
LRCX
LVNTA
MAR
MAT
MCHP
MDLZ
MNST
MRVL
MSFT
MU
MXIM
MYL
NCLH
NFLX
NIHD
NTAP
NTES
NUAN
NVDA
NXPI
ORCL
ORLY
PAYX
PCAR
PCLN
PDCO
PRGO
PYPL
QCOM
QGEN
QVCA
REGN
ROST
SBAC
SBUX
SHLD
SHPG
SIRI
SRCL
STX
SWKS
SYMC
TEVA
TMUS
TRIP
TSCO
TSLA
TXN
ULTA
URBN
VIAB
VMED
VOD
VRSK
VRSN
VRTX
WBA
WDC
WYNN
XLNX
XRAY
