ticker,from,to
EBAY,1999.10.06,
EDCI,1995.10.03,1998.01.07
EFII,1996.12.23,1999.12.20
ENDP,2015.12.21,2016.07.18
ERIC,1998.01.07,2003.12.22
ERIC,2004.12.20,2007.12.24
EQIX,2012.12.24,2015.03.23
ESRX,2001.12.24,
EXDSQ,2000.12.18,2001.10.05
EXPD,2002.12.23,2015.12.21
EXPE,2005.12.19,2014.12.22
EXPE,2015.12.21,
EYE,1999.06.10,2000.09.07
FAST,1996.12.31,1999.12.20
FAST,2002.12.23,
FB,2012.12.12,
FFIV,2010.12.20,2014.12.22
FHCC,,1999.12.20
FHCC,2002.12.23,2004.12.20
FISV,1996.12.23,
FLEX,2000.12.18,2012.12.24
FLIR,2008.07.21,2011.12.19
FMCN,2007.12.24,2009.01.20
FORE,1996.09.30,1999.05.28
FORT,1996.12.23,1997.08.13
FOSL,2011.12.19,2013.12.23
FOXA,2009.01.20,
FSLR,2008.12.22,2012.04.23
FWLT,2007.07.12,2010.12.20
GENZ,,2011.04.04
GIDL,,1996.12.23
GILD,2001.10.05,
GLBC,1999.09.09,2000.11.06
GMCR,2011.05.27,2012.12.24
GMCR,2013.08.15,2015.12.21
GMST,1999.12.30,2002.12.16
GNCI,1995.12.18,1998.12.21
GNTX,2002.12.23,2004.12.20
GOLD,2011.12.19,2013.11.18
GOOGL,2005.12.19,
GRMN,2003.12.22,2015.12.21
GTW,1995.11.27,1997.05.22
HAS,2016.12.19,
HBOC,1995.03.06,1999.01.13
HGSI,2000.12.18,2003.12.22
HOLX,2007.12.24,2010.12.20
HOLX,2016.12.19,
HONI,,1995.12.18
HSIC,2002.12.23,2004.12.20
HSIC,2007.10.02,
IACI,1998.09.15,2009.12.21
ICOS,2001.12.24,2003.12.22
IDTI,2001.12.24,2002.12.23
IDXX,1995.12.18,1998.01.07
IDXX,2017.03.20,
ILMN,2008.12.22,2011.12.19
ILMN,2013.12.23,
IMCL,2001.12.24,2002.12.23
IMNX,1998.01.07,2002.07.15
INCY,2015.10.07,
INEL,,1995.12.18
INFY,2006.12.18,2012.12.12
INKT,2000.12.18,2001.12.24
INTC,,
INTU,1995.11.27,1998.01.07
INTU,1998.12.21,
ISIL,2003.12.22,2005.12.19
ISRG,2006.02.01,
IT,1995.12.18,1998.09.15
ITWO,1999.12.20,2002.12.23
JAVA,,2009.07.17
