Date,Open,High,Low,Close
2015-07-06,71.0,74.290001,71.0,72.959999
2015-07-07,73.730003,74.709999,72.959999,74.629997
2015-07-08,74.300003,75.5,74.040001,75.400002
2015-07-09,76.470001,77.066002,74.5,74.800003
2015-07-10,75.050003,77.800003,75.0,77.309998
2015-07-13,79.5,79.699997,77.910004,78.83000200000001
2015-07-14,79.449997,79.5,77.650002,78.0
2015-07-15,77.650002,78.16999799999999,76.400002,76.709999
2015-07-16,76.970001,78.839996,76.949997,78.75
2015-07-17,79.43,79.690002,77.260002,79.629997
2015-07-20,79.949997,81.199997,79.129997,80.110001
2015-07-21,79.970001,80.68,79.400002,80.220001
2015-07-22,80.83000200000001,80.900002,78.58000200000001,78.639999
2015-07-23,78.41999799999999,78.57,76.639999,76.739998
2015-07-24,76.91999799999999,77.43,75.949997,76.410004
2015-07-27,76.629997,77.980003,76.290001,77.379997
2015-07-28,78.440002,78.650002,77.5,78.32
2015-07-29,78.260002,78.300003,77.0,77.910004
2015-07-30,78.209999,79.690002,77.599998,79.209999
2015-07-31,79.940002,79.940002,78.864998,79.470001
2015-08-03,80.0,81.029999,79.910004,80.370003
2015-08-04,80.57,81.0,79.66999799999999,79.809998
2015-08-05,80.010002,81.0,79.849998,80.480003
2015-08-06,81.050003,81.190002,79.510002,79.760002
2015-08-07,79.139999,79.379997,77.290001,78.459999
2015-08-10,79.43,79.800003,78.57,78.809998
2015-08-11,77.629997,80.480003,77.07,77.970001
2015-08-12,77.83000200000001,78.309998,76.089996,76.690002
2015-08-13,77.010002,77.07,75.800003,75.989998
2015-08-14,76.07,76.739998,75.116997,76.41999799999999
2015-08-17,75.860001,76.410004,75.510002,75.800003
2015-08-18,75.720001,75.95300300000001,75.059998,75.190002
2015-08-19,75.0,75.290001,73.91999799999999,74.779999
2015-08-20,74.019997,74.764,73.779999,74.25
2015-08-21,73.309998,74.25,72.260002,72.269997
2015-08-24,68.239998,72.239998,61.419998,70.870003
2015-08-25,71.540001,72.400002,70.0,70.209999
2015-08-26,71.720001,74.110001,69.529999,73.910004
2015-08-27,73.16999799999999,75.25,73.120003,75.18
2015-08-28,74.400002,75.190002,73.82,74.690002
2015-08-31,74.209999,74.43,72.57,72.660004
2015-09-01,71.230003,72.540001,69.639999,70.120003
2015-09-02,70.839996,72.07,70.309998,72.07
2015-09-03,72.559998,73.889999,71.790001,72.160004
2015-09-04,71.139999,71.690002,70.128998,70.57
2015-09-08,71.849998,74.33000200000001,70.809998,74.07
2015-09-09,74.449997,74.5,71.980003,72.16999799999999
2015-09-10,72.129997,73.050003,71.779999,72.160004
2015-09-11,72.25,73.93,71.599998,73.760002
2015-09-14,73.5,74.709999,72.555,74.550003
2015-09-15,74.940002,75.519997,73.754997,75.389999
2015-09-16,75.199997,76.709999,74.300003,76.370003
2015-09-17,76.58000200000001,77.760002,76.0,76.43
2015-09-18,75.550003,76.5,75.010002,75.440002
2015-09-21,75.690002,76.190002,74.959999,75.199997
2015-09-22,74.150002,74.870003,73.660004,74.309998
2015-09-23,74.16999799999999,74.598,73.254997,73.309998
2015-09-24,73.0,73.139999,71.699997,72.91999799999999
2015-09-25,73.800003,73.849998,72.779999,73.349998
2015-09-28,72.809998,73.269997,69.989998,69.989998
2015-09-29,70.160004,70.980003,68.650002,69.199997
2015-09-30,69.66999799999999,70.800003,69.459999,70.58000200000001
2015-10-01,71.269997,71.970001,69.769997,70.83000200000001
2015-10-02,70.190002,71.459999,69.370003,71.410004
2015-10-05,72.0,73.25,71.349998,72.239998
2015-10-06,72.290001,73.050003,71.889999,72.470001
2015-10-07,72.739998,73.739998,72.480003,73.150002
2015-10-08,73.160004,74.470001,72.739998,74.43
2015-10-09,74.410004,75.220001,73.989998,74.389999
2015-10-12,74.410004,74.410004,73.309998,73.720001
2015-10-13,73.610001,73.93,73.18,73.379997
2015-10-14,73.120003,74.300003,73.0,73.769997
2015-10-15,74.150002,75.220001,73.92199699999999,75.220001
2015-10-16,75.68,78.0,74.870003,77.389999
2015-10-19,76.889999,77.199997,76.290001,76.800003
2015-10-20,76.199997,77.160004,76.110001,76.870003
2015-10-21,77.0,77.739998,76.629997,77.050003
2015-10-22,77.220001,79.940002,77.220001,79.940002
2015-10-23,79.150002,79.889999,77.43,77.980003
2015-10-26,78.18,78.18,76.480003,76.809998
2015-10-27,76.209999,77.480003,76.209999,77.16999799999999
2015-10-28,77.150002,79.199997,76.339996,79.18
2015-10-29,78.839996,78.997002,77.84899899999999,78.650002
2015-10-30,78.370003,78.989998,77.860001,77.970001
2015-11-02,78.43,78.93,77.720001,78.269997
2015-11-03,77.83000200000001,78.0,75.879997,76.43
2015-11-04,76.32,76.667999,75.239998,75.82
2015-11-05,76.199997,76.499001,74.75,75.41999799999999
2015-11-06,73.75,74.5,71.58000200000001,72.010002
2015-11-09,72.0,72.68,70.849998,71.239998
2015-11-10,71.75,72.220001,71.15100100000001,72.08000200000001
2015-11-11,72.699997,72.860001,71.360001,72.110001
2015-11-12,71.18,71.377998,70.25,70.900002
2015-11-13,70.620003,71.709999,70.58000200000001,70.769997
2015-11-16,71.019997,72.110001,70.940002,71.654999
2015-11-17,72.099998,72.129997,70.639999,71.449997
2015-11-18,71.839996,73.035004,71.16999799999999,72.584999
2015-11-19,73.25,73.730003,72.339996,73.339996
2015-11-20,74.16999799999999,75.57,73.400002,73.650002
2015-11-23,74.029999,74.540001,73.894997,74.07
2015-11-24,73.730003,74.510002,73.68,74.470001
2015-11-25,74.449997,74.91999799999999,73.849998,74.639999
2015-11-27,74.57,75.0,74.220001,74.610001
2015-11-30,74.519997,74.860001,73.5,73.690002
2015-12-01,74.230003,75.0,73.800003,74.470001
2015-12-02,74.209999,74.620003,72.91999799999999,73.040001
2015-12-03,73.300003,73.68,71.089996,71.459999
2015-12-04,71.400002,72.730003,71.07,72.220001
2015-12-07,71.91999799999999,72.20500200000001,70.849998,71.43
2015-12-08,71.0,71.654999,70.587997,71.529999
2015-12-09,71.160004,72.16999799999999,70.5,70.900002
2015-12-10,70.83000200000001,71.334999,70.510002,70.839996
2015-12-11,70.089996,70.690002,69.389999,69.690002
2015-12-14,70.07,71.08000200000001,69.769997,70.974998
2015-12-15,71.730003,72.75,71.650002,72.010002
2015-12-16,72.610001,73.199997,71.889999,73.010002
2015-12-17,72.949997,73.300003,71.900002,71.91999799999999
2015-12-18,71.41999799999999,71.940002,70.629997,70.66999799999999
2015-12-21,70.519997,71.660004,70.370003,71.379997
2015-12-22,71.639999,73.190002,71.315002,72.93
2015-12-23,73.300003,74.779999,72.989998,74.510002
2015-12-24,74.809998,74.809998,73.879997,73.959999
2015-12-28,73.709999,73.783997,72.889999,73.41999799999999
2015-12-29,73.650002,74.860001,73.400002,74.690002
2015-12-30,74.650002,74.959999,73.709999,73.75
2015-12-31,73.370003,73.5,72.629997,72.760002
2016-01-04,71.379997,72.849998,71.349998,72.699997
2016-01-05,72.739998,73.58000200000001,72.279999,73.389999
2016-01-06,72.199997,73.68,72.029999,73.529999
2016-01-07,72.010002,72.989998,71.849998,71.900002
2016-01-08,72.190002,72.470001,71.099998,71.18
2016-01-11,71.349998,72.529999,70.769997,72.269997
2016-01-12,72.849998,73.349998,72.13200400000001,73.230003
2016-01-13,73.190002,73.440002,70.639999,70.809998
2016-01-14,70.959999,71.528,70.304001,70.739998
2016-01-15,68.900002,70.150002,68.18,69.199997
2016-01-19,70.010002,70.519997,69.550003,70.16999799999999
2016-01-20,69.279999,71.58000200000001,68.739998,71.16999799999999
2016-01-21,72.0,73.33000200000001,71.32599599999999,73.050003
2016-01-22,73.599998,74.5,72.510002,74.389999
2016-01-25,73.699997,74.66999799999999,73.339996,74.029999
2016-01-26,73.370003,76.0,73.370003,75.980003
2016-01-27,75.870003,77.150002,75.150002,75.970001
2016-01-28,76.269997,76.989998,75.480003,76.160004
2016-01-29,76.900002,78.220001,76.400002,78.059998
2016-02-01,77.370003,77.480003,75.66999799999999,77.010002
2016-02-02,75.970001,76.800003,75.720001,75.970001
2016-02-03,76.370003,76.370003,73.83000200000001,74.889999
2016-02-04,75.040001,75.199997,72.91999799999999,74.150002
2016-02-05,74.279999,74.559998,72.139999,72.779999
2016-02-08,72.089996,72.199997,70.18,71.220001
2016-02-09,70.599998,71.959999,70.010002,71.510002
2016-02-10,72.07,73.300003,71.712997,72.110001
2016-02-11,70.900002,71.959999,70.17400400000001,71.440002
2016-02-12,72.199997,72.449997,71.019997,71.91999799999999
2016-02-16,72.900002,73.059998,71.91999799999999,72.309998
2016-02-17,73.0,74.389999,72.5,74.239998
2016-02-18,74.08000200000001,74.290001,73.339996,73.449997
2016-02-19,72.900002,73.693001,72.83000200000001,73.519997
2016-02-22,74.389999,74.389999,72.209999,73.33000200000001
2016-02-23,73.099998,73.489998,72.559998,72.82
2016-02-24,72.33000200000001,73.33000200000001,71.824997,72.989998
2016-02-25,73.410004,74.980003,73.33000200000001,74.959999
2016-02-26,78.800003,78.900002,76.650002,77.839996
2016-02-29,77.279999,78.0,76.93,77.019997
2016-03-01,77.660004,77.91999799999999,76.91999799999999,77.660004
